# Poisson-Nernst-Planck system, generated on jotelha-fujitsu-ubuntu-20, 2021-02-03 09:59:33
# All quantities in SI units.
# grid x (m), potential u (V), concentration c (mM)
# x                    u                      c00                    c01                   
 1.220000000000000e-08 -3.991518426141185e-14  9.997108717104047e+02  9.997108717073065e+02
 1.230000000000000e-08 -5.534788617439307e-14  9.997108717110053e+02  9.997108717067065e+02
 1.240000000000000e-08 -7.676376952935671e-14  9.997108717118392e+02  9.997108717058737e+02
 1.250000000000000e-08 -1.064825647930658e-13  9.997108717129960e+02  9.997108717047176e+02
 1.260000000000000e-08 -1.477229705292238e-13  9.997108717146011e+02  9.997108717031132e+02
 1.270000000000000e-08 -2.049518753598961e-13  9.997108717168284e+02  9.997108717008867e+02
 1.280000000000000e-08 -2.843675602380406e-13  9.997108717199189e+02  9.997108716977974e+02
 1.290000000000000e-08 -3.945714375798501e-13  9.997108717242074e+02  9.997108716935097e+02
 1.300000000000000e-08 -5.474996719035744e-13  9.997108717301584e+02  9.997108716875597e+02
 1.310000000000000e-08 -7.597156498961646e-13  9.997108717384166e+02  9.997108716793025e+02
 1.320000000000000e-08 -1.054204647739102e-12  9.997108717498759e+02  9.997108716678442e+02
 1.330000000000000e-08 -1.462862576936044e-12  9.997108717657775e+02  9.997108716519435e+02
 1.340000000000000e-08 -2.029950870185333e-12  9.997108717878436e+02  9.997108716298783e+02
 1.350000000000000e-08 -2.816890562753430e-12  9.997108718184643e+02  9.997108715992583e+02
 1.360000000000000e-08 -3.908914278258202e-12  9.997108718609561e+02  9.997108715567675e+02
 1.370000000000000e-08 -5.424297783580211e-12  9.997108719199209e+02  9.997108714978036e+02
 1.380000000000000e-08 -7.527170707293751e-12  9.997108720017453e+02  9.997108714159800e+02
 1.390000000000000e-08 -1.044529300163065e-11  9.997108721152913e+02  9.997108713024350e+02
 1.400000000000000e-08 -1.449472300915791e-11  9.997108722728573e+02  9.997108711448701e+02
 1.410000000000000e-08 -2.011404976462773e-11  9.997108724915084e+02  9.997108709262197e+02
 1.420000000000000e-08 -2.791189587098152e-11  9.997108727949269e+02  9.997108706228021e+02
 1.430000000000000e-08 -3.873283653268502e-11  9.997108732159755e+02  9.997108702017545e+02
 1.440000000000000e-08 -5.374887460802810e-11  9.997108738002573e+02  9.997108696174736e+02
 1.450000000000000e-08 -7.458637883764088e-11  9.997108746110556e+02  9.997108688066767e+02
 1.460000000000000e-08 -1.035022338896853e-10  9.997108757361865e+02  9.997108676815470e+02
 1.470000000000000e-08 -1.436282809550994e-10  9.997108772975108e+02  9.997108661202236e+02
 1.480000000000000e-08 -1.993105231489859e-10  9.997108794641348e+02  9.997108639536007e+02
 1.490000000000000e-08 -2.765798360789889e-10  9.997108824707221e+02  9.997108609470141e+02
 1.500000000000000e-08 -3.838051646412055e-10  9.997108866429128e+02  9.997108567748243e+02
 1.510000000000000e-08 -5.325999535383107e-10  9.997108924325917e+02  9.997108509851466e+02
 1.520000000000000e-08 -7.390799851172098e-10  9.997109004668318e+02  9.997108429509078e+02
 1.530000000000000e-08 -1.025608859837984e-09  9.997109116158117e+02  9.997108318019293e+02
 1.540000000000000e-08 -1.423220170856224e-09  9.997109270870642e+02  9.997108163306791e+02
 1.550000000000000e-08 -1.974978714524407e-09  9.997109485562621e+02  9.997107948614851e+02
 1.560000000000000e-08 -2.740644785849470e-09  9.997109783487081e+02  9.997107650690454e+02
 1.570000000000000e-08 -3.803146743609477e-09  9.997110196911867e+02  9.997107237265780e+02
 1.580000000000000e-08 -5.277562879747822e-09  9.997110770614535e+02  9.997106663563325e+02
 1.590000000000000e-08 -7.323585408754613e-09  9.997111566732149e+02  9.997105867446107e+02
 1.600000000000000e-08 -1.016281653661643e-08  9.997112671491305e+02  9.997104762687715e+02
 1.610000000000000e-08 -1.410276992509766e-08  9.997114204547247e+02  9.997103229633229e+02
 1.620000000000000e-08 -1.957017712230770e-08  9.997116331943635e+02  9.997101102239636e+02
 1.630000000000000e-08 -2.715720633604429e-08  9.997119284096653e+02  9.997098150091997e+02
 1.640000000000000e-08 -3.768559945075374e-08  9.997123380751297e+02  9.997094053447705e+02
 1.650000000000000e-08 -5.229567388940794e-08  9.997129065612972e+02  9.997088368605948e+02
 1.660000000000000e-08 -7.256982900265212e-08  9.997136954405476e+02  9.997080479851800e+02
 1.670000000000000e-08 -1.007039338138436e-07  9.997147901560747e+02  9.997069532770366e+02
 1.680000000000000e-08 -1.397451589157136e-07  9.997163092764263e+02  9.997054341709029e+02
 1.690000000000000e-08 -1.939220118025073e-07  9.997184173380682e+02  9.997033261366388e+02
 1.700000000000000e-08 -2.691023213611082e-07  9.997213426671957e+02  9.997004008602315e+02
 1.710000000000000e-08 -3.734287752646699e-07  9.997254021115141e+02  9.996963415174332e+02
